loan_amnt,PD,LGD,EAD,Expected_Loss,actual_default
3600.0,0.10711597,0.4402,3600.0,169.7488199784,1
24700.0,0.13111429,0.4402,24700.0,1425.5978083126,1
20000.0,0.09848304,0.4402,20000.0,867.0446841599999,0
10400.0,0.11328365,0.4402,10400.0,518.621612392,0
11950.0,0.27231634,0.4402,11950.0,1432.4901517725998,0
20000.0,0.16319945,0.4402,20000.0,1436.8079577999997,0
20000.0,0.062466394,0.4402,20000.0,549.9541327759999,0
10000.0,0.104399204,0.4402,10000.0,459.56529600799996,0
8000.0,0.24392411,0.4402,8000.0,859.003145776,0
1400.0,0.2408566,0.4402,1400.0,148.435105448,0
18000.0,0.5455444,0.4402,18000.0,4322.67560784,0
28000.0,0.23737149,0.4402,28000.0,2925.7460371439997,0
9600.0,0.042086534,0.4402,9600.0,177.85432576128,0
25000.0,0.12516034,0.4402,25000.0,1377.3895417,0
18000.0,0.04504385,0.4402,18000.0,356.90944986,0
8650.0,0.9999863,0.4402,8650.0,3807.677834099,1
29900.0,0.14377788,0.4402,29900.0,1892.4015810023996,0
16000.0,0.09713626,0.4402,16000.0,684.150106432,0
28000.0,0.055259936,0.4402,28000.0,681.1118671616,0
5000.0,0.033237133,0.4402,5000.0,73.154929733,0
6000.0,0.24261896,0.4402,6000.0,640.805197152,0
4225.0,0.24359103,0.4402,4225.0,453.0415591903499,0
20000.0,0.008923813,0.4402,20000.0,78.56524965199998,0
16000.0,0.2327622,0.4402,16000.0,1639.3907270399998,0
17600.0,0.019818872,0.4402,17600.0,153.54710719744,0
15000.0,0.06731589,0.4402,15000.0,444.48682167,0
16000.0,0.25029078,0.4402,16000.0,1762.848021696,0
24250.0,0.25006405,0.4402,24250.0,2669.3962241424997,0
12000.0,0.15535183,0.4402,12000.0,820.6305067919999,0
25000.0,0.29946986,0.4402,25000.0,3295.6658092999996,0
7000.0,0.08380647,0.4402,7000.0,258.24125665799994,0
21000.0,0.3056759,0.4402,21000.0,2825.72915478,0
27500.0,0.4611845,0.4402,27500.0,5582.86896475,0
7200.0,0.11700936,0.4402,7200.0,370.8541459584,1
20000.0,0.21095671,0.4402,20000.0,1857.26287484,0
20000.0,0.0191304,0.4402,20000.0,168.42404159999998,0
10000.0,0.52592033,0.4402,10000.0,2315.10129266,1
20000.0,0.17203873,0.4402,20000.0,1514.6289789199998,0
8650.0,0.17181997,0.4402,8650.0,654.2440543680999,1
21000.0,0.198916,0.4402,21000.0,1838.8192872,0
7200.0,0.17445971,0.4402,7200.0,552.9395832624,0
8800.0,0.5240637,0.4402,8800.0,2030.0969985119998,1
2500.0,0.060925264,0.4402,2500.0,67.048253032,0
11000.0,0.07009644,0.4402,11000.0,339.42098176799993,0
10000.0,0.10441093,0.4402,10000.0,459.61691385999995,0
28000.0,0.20484887,0.4402,28000.0,2524.885232072,0
35000.0,0.3218712,0.4402,35000.0,4959.0695784,0
7200.0,0.14471982,0.4402,7200.0,458.6807863008,0
10000.0,0.16364214,0.4402,10000.0,720.3527002799999,1
16000.0,0.20402876,0.4402,16000.0,1437.0153624319998,0
21875.0,0.16777864,0.4402,21875.0,1615.6034415499998,0
14025.0,0.2691398,0.4402,14025.0,1661.6166429389998,0
35000.0,0.15008426,0.4402,35000.0,2312.34819382,0
20000.0,0.24789011,0.4402,20000.0,2182.42452844,1
14000.0,0.9999907,0.4402,14000.0,6162.74268596,1
20000.0,0.0797255,0.4402,20000.0,701.9033019999999,1
4200.0,0.1878218,0.4402,4200.0,347.252456712,0
19000.0,0.3258781,0.4402,19000.0,2725.57925278,0
15850.0,0.28304526,0.4402,15850.0,1974.8548967142,0
30000.0,0.18525775,0.4402,30000.0,2446.5138465,0
1500.0,0.10144867,0.4402,1500.0,66.986556801,0
25000.0,0.020957895,0.4402,25000.0,230.64163447500002,0
20200.0,0.13526742,0.4402,20200.0,1202.8033093367999,0
23975.0,0.35812753,0.4402,23975.0,3779.6045354763505,0
15000.0,0.015405251,0.4402,15000.0,101.720872353,1
10000.0,0.11695875,0.4402,10000.0,514.8524175,0
15000.0,0.18635286,0.4402,15000.0,1230.48793458,0
23100.0,0.05256331,0.4402,23100.0,534.4963253322001,0
27300.0,0.078745045,0.4402,27300.0,946.3154284857,0
25000.0,0.14174789,0.4402,25000.0,1559.9355294499999,0
15000.0,0.009651548,0.4402,15000.0,63.729171443999995,0
10000.0,0.06486741,0.4402,10000.0,285.54633882,0
18500.0,0.059573144,0.4402,18500.0,485.1458127928,0
5000.0,0.02817819,0.4402,5000.0,62.02019618999999,0
9000.0,0.12116525,0.4402,9000.0,480.03248745,0
11000.0,0.07607069,0.4402,11000.0,368.34949511799994,0
20000.0,0.050657254,0.4402,20000.0,445.98646421599994,0
15000.0,0.23746409,0.4402,15000.0,1567.97538627,0
12000.0,0.013787718,0.4402,12000.0,72.83224156319999,0
8000.0,0.1632227,0.4402,8000.0,574.80506032,0
12000.0,0.2746977,0.4402,12000.0,1451.06313048,0
18000.0,0.3298647,0.4402,18000.0,2613.71593692,0
3600.0,0.1844188,0.4402,3600.0,292.252160736,0
7200.0,0.42638052,0.4402,7200.0,1351.3874753087998,0
15000.0,0.057395197,0.4402,15000.0,378.980485791,1
5000.0,0.2601182,0.4402,5000.0,572.5201582,0
11550.0,0.09719615,0.4402,11550.0,494.1753574065,0
33600.0,0.227846,0.4402,33600.0,3370.0063891199998,0
17475.0,0.06983047,0.4402,17475.0,537.17054132265,0
9000.0,0.030977508,0.4402,9000.0,122.7266911944,0
12000.0,0.14563604,0.4402,12000.0,769.3078176959999,0
4000.0,0.43714553,0.4402,4000.0,769.7258492240001,1
10500.0,0.18312839,0.4402,10500.0,846.437731419,0
14000.0,0.13896962,0.4402,14000.0,856.4419741359999,0
6000.0,0.07963934,0.4402,6000.0,210.34342480799998,0
15000.0,0.118305445,0.4402,15000.0,781.170853335,0
12000.0,0.24832703,0.4402,12000.0,1311.762703272,0
10000.0,0.3438106,0.4402,10000.0,1513.4542612000002,1
4200.0,0.014245964,0.4402,4200.0,26.338508081759997,0
